,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Atmosphere.co2_emitted_t,4410.0,8820.0,13475.0,18179.0,22981.0,27734.0,32634.0,37779.0,43414.0,49294.0,54782.0,60172.0,65807.0,71687.0,78057.0,84182.0,90062.0,96040.0,102067.0,108486.0,115101.0,120981.0,126371.0,131393.5
Atmosphere.co2_CCGTs_t,4410.0,4655.0,4704.0,4802.0,4753.0,4900.0,5145.0,5635.0,5880.0,5488.0,5390.0,5635.0,5880.0,6370.0,6125.0,5880.0,5978.0,6027.0,6419.0,6615.0,5880.0,5390.0,5022.5,4593.75
GasHUB.gas_stored_MWh,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21,1e+21
GasHUB.gas_MWh,15480.0,16340.0,16512.0,16856.0,16684.0,17200.0,18060.0,19780.0,20640.0,19264.0,18920.0,19780.0,20640.0,22360.0,21500.0,20640.0,20984.0,21156.0,22532.0,23220.0,20640.0,18920.0,17630.0,16125.0
CCGTs.capacity_MW,9000.0,9500.0,9600.0,9800.0,9700.0,10000.0,10500.0,11500.0,12000.0,11200.0,11000.0,11500.0,12000.0,13000.0,12500.0,12000.0,12200.0,12300.0,13100.0,13500.0,12000.0,11000.0,10250.0,9375.0
CCGTs.gas_MWh,15480.0,16340.0,16512.0,16856.0,16684.0,17200.0,18060.0,19780.0,20640.0,19264.0,18920.0,19780.0,20640.0,22360.0,21500.0,20640.0,20984.0,21156.0,22532.0,23220.0,20640.0,18920.0,17630.0,16125.0
CCGTs.electricity_MWh,9000.0,9500.0,9600.0,9800.0,9700.0,10000.0,10500.0,11500.0,12000.0,11200.0,11000.0,11500.0,12000.0,13000.0,12500.0,12000.0,12200.0,12300.0,13100.0,13500.0,12000.0,11000.0,10250.0,9375.0
CCGTs.co2_t,4410.0,4655.0,4704.0,4802.0,4753.0,4900.0,5145.0,5635.0,5880.0,5488.0,5390.0,5635.0,5880.0,6370.0,6125.0,5880.0,5978.0,6027.0,6419.0,6615.0,5880.0,5390.0,5022.5,4593.75
Demand.ens_MWh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demand.electricity_MWh,9000.0,9500.0,9600.0,9800.0,9700.0,10000.0,10500.0,11500.0,12000.0,11200.0,11000.0,11500.0,12000.0,13000.0,12500.0,12000.0,12200.0,12300.0,13100.0,13500.0,12000.0,11000.0,10250.0,9375.0
